,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Colbert County, Alabama",Colbert County,Alabama,8343,29.92,19203,68.86,340,1.22,3.60%,10.10%,36.60%,23.30%,8.40%,11.20%,6.80%,0.4488,"56,149","71,460",1535.74,37.29,57227,3.03,75.56,16.11,0.39,0.75,0.02,0.24,3.9,33.73,17.14,18.68,9.82,20.63
"Conecuh County, Alabama",Conecuh County,Alabama,2966,46.05,3442,53.44,33,0.51,2.90%,7.70%,48.30%,19.80%,8.10%,7.70%,5.70%,0.4639,"39,888","56,230",2202.21,5.26,11597,2.21,50.31,43.94,0.61,0.28,0,0.14,2.5,24.22,13.26,22.84,7.16,32.53
"Coosa County, Alabama",Coosa County,Alabama,1796,32.78,3631,66.27,52,0.95,3.70%,12.80%,41.40%,22.10%,9.30%,7.20%,3.50%,0.4216,"52,279","69,810",1685.85,6.13,10387,1.94,65.53,28.88,0.24,0.08,0,0.45,2.88,23.97,15.51,22.62,14.06,23.84
"Covington County, Alabama",Covington County,Alabama,2721,15.61,14586,83.68,123,0.71,4.40%,9.80%,36.30%,21.40%,11.80%,9.80%,6.50%,0.4908,"48,772","69,704",2669.17,14.07,37570,1.74,81.6,12.15,0.37,0.64,0,0.19,3.31,31.23,15.69,19.19,12.41,21.48
"Crenshaw County, Alabama",Crenshaw County,Alabama,1700,25.69,4864,73.51,53,0.8,6.80%,11.10%,42.50%,14.40%,8.00%,11.90%,5.30%,0.5581,"48,557","78,621",1576.95,8.37,13194,1.42,70.74,23.38,0.36,0.63,0.02,0.2,3.25,24.61,15.04,20.69,12.02,27.63
"Cullman County, Alabama",Cullman County,Alabama,4478,10.7,36880,88.12,493,1.18,4.60%,10.80%,31.40%,23.60%,11.40%,12.10%,6.20%,0.4425,"58,119","75,873",1902.97,46.39,87866,4.72,89.11,1.04,0.33,0.59,0.07,0.17,3.97,28.55,16.72,22.62,13.6,18.51
"Dale County, Alabama",Dale County,Alabama,5170,26.19,14303,72.46,265,1.34,4.50%,9.80%,31.30%,25.10%,10.10%,12.90%,6.20%,0.4432,"52,813","67,432",1453.28,34.03,49326,6.6,66.09,20.48,0.44,1.31,0.09,0.33,4.66,28.07,18.61,20.68,14.03,18.61
"Dallas County, Alabama",Dallas County,Alabama,12230,68.46,5524,30.92,110,0.62,3.40%,11.20%,39.70%,19.40%,10.60%,10.10%,5.60%,0.4894,"37,180","53,213",2534.92,15.12,38462,0.77,26.94,69.71,0.15,0.38,0.03,0.1,1.92,26.64,15.72,22.62,9.13,25.89
"DeKalb County, Alabama",DeKalb County,Alabama,4281,14.58,24767,84.37,308,1.05,11.10%,11.10%,31.80%,20.60%,11.20%,8.30%,5.90%,0.4555,"47,920","64,545",2012.62,35.62,71608,16.4,76.15,1.42,1,0.33,0.02,0.12,4.56,26.77,16.24,16.74,14.55,25.7
"Elmore County, Alabama",Elmore County,Alabama,10367,25.27,30164,73.52,499,1.22,3.40%,8.10%,33.80%,20.70%,9.90%,15.80%,8.40%,0.4189,"73,258","90,524",1601.95,54.74,87977,3.17,71.09,20.6,0.31,0.76,0.03,0.31,3.72,38.57,14.54,23.79,8.72,14.38
"Escambia County, Alabama",Escambia County,Alabama,4918,30.91,10869,68.32,123,0.77,4.60%,13.20%,44.40%,16.90%,8.50%,8.50%,4.00%,0.4673,"41,153","55,542",2448.6,15.01,36757,2.04,59.86,29.71,4.05,0.29,0.06,0.13,3.84,24.99,20.35,21.4,12.23,21.04
"Etowah County, Alabama",Etowah County,Alabama,11567,24.24,35528,74.44,633,1.33,4.00%,9.90%,33.40%,24.20%,10.80%,10.80%,6.90%,0.4556,"52,177","69,693",1385.92,74.57,103436,4.73,75.15,14.5,0.32,0.89,0.04,0.25,4.12,29.8,16.75,21.12,9.98,22.35
"Fayette County, Alabama",Fayette County,Alabama,1395,15.91,7300,83.28,71,0.81,6.40%,9.80%,39.80%,23.10%,7.80%,8.30%,4.80%,0.4876,"45,650","66,681",1625.69,10.02,16321,2.43,83.03,10.54,0.26,0.3,0.01,0.18,3.25,23.71,14.17,17.76,11.05,33.31
"Franklin County, Alabama",Franklin County,Alabama,2086,16.58,10376,82.49,116,0.92,6.10%,13.80%,40.10%,18.10%,7.10%,10.30%,4.50%,0.4441,"47,359","63,747",1641.95,19.5,32113,19.49,73.43,3.55,0.4,0.21,0.01,0.24,2.68,24.97,14.77,16.68,13.63,29.94
"Geneva County, Alabama",Geneva County,Alabama,1595,12.71,10848,86.47,102,0.81,6.30%,10.30%,36.70%,21.80%,11.00%,9.70%,4.20%,0.4363,"47,608","63,491",1487.91,17.91,26659,4.86,81.23,8.37,0.62,0.32,0.03,0.27,4.3,31.9,16.76,19.64,15.01,16.69
"Greene County, Alabama",Greene County,Alabama,3884,81.34,875,18.32,16,0.34,2.80%,15.30%,37.10%,20.40%,7.60%,10.60%,6.10%,0.4702,"32,796","48,095",1675.78,4.6,7730,0.79,16.62,80.56,0.06,0.09,0,0.14,1.73,28.41,14.69,13.76,16.86,26.28
"Hale County, Alabama",Hale County,Alabama,4687,59.16,3190,40.27,45,0.57,5.20%,14.30%,37.80%,17.50%,8.90%,10.80%,5.60%,0.5119,"35,851","59,052",1667.93,8.84,14785,1.01,40.39,56.23,0.23,0.12,0.03,0.16,1.83,37.88,18.2,17.17,7.4,19.34
"Henry County, Alabama",Henry County,Alabama,2606,28.03,6607,71.06,85,0.91,5.80%,12.70%,32.80%,18.70%,9.10%,14.00%,7.00%,0.4655,"58,395","73,705",1455.29,11.88,17146,1.95,69.07,24.68,0.29,0.43,0,0.29,3.3,31.69,15.98,22.21,11.73,18.39
"Houston County, Alabama",Houston County,Alabama,12917,27.98,32618,70.64,638,1.38,3.60%,8.80%,32.00%,23.50%,9.70%,14.30%,8.10%,0.4833,"55,064","78,415",1501.74,71.28,107202,4.18,63.67,26.34,0.3,1.18,0.06,0.33,3.96,33.54,18.09,23.19,9.28,15.91
"Jackson County, Alabama",Jackson County,Alabama,3717,15.73,19670,83.22,249,1.05,5.20%,12.80%,37.40%,19.20%,9.30%,10.20%,5.90%,0.4574,"46,748","65,829",2792.04,18.85,52579,3.2,85.82,3.09,1.29,0.41,0,0.21,5.98,31.92,13.58,17.08,13.24,24.18
"Jefferson County, Alabama",Jefferson County,Alabama,181688,55.76,138843,42.61,5317,1.63,2.50%,6.50%,26.10%,21.20%,8.20%,21.20%,14.40%,0.5049,"63,595","93,745",2878.88,233.52,674721,5.17,48.06,41.52,0.18,1.93,0.05,0.29,2.81,42.14,15.99,21.03,6.98,13.85
"Lamar County, Alabama",Lamar County,Alabama,978,13.6,6174,85.83,41,0.57,7.00%,11.00%,40.90%,20.50%,10.40%,6.10%,4.10%,0.4259,"49,565","62,422",1566.54,8.86,13972,1.49,85.34,10.17,0.2,0.04,0.02,0.16,2.58,27.5,13.03,20.03,9.83,29.6
"Lauderdale County, Alabama",Lauderdale County,Alabama,11915,26.87,31721,71.54,703,1.59,3.00%,8.30%,34.90%,20.00%,8.10%,16.10%,9.80%,0.4618,"56,081","76,624",1730.16,54.52,93564,3.29,81.75,9.79,0.32,0.8,0.03,0.22,3.8,30.11,17.08,24.71,10.2,17.9
"Lawrence County, Alabama",Lawrence County,Alabama,3562,22.22,12322,76.86,147,0.92,5.70%,11.60%,41.10%,18.50%,7.30%,10.10%,5.70%,0.4483,"54,786","72,948",1788.86,18.51,33073,2.71,74.73,9.98,4.35,0.25,0.02,0.21,7.75,30.97,14.63,17.11,12.27,25.03
"Lee County, Alabama",Lee County,Alabama,27860,38.99,42221,59.09,1368,1.91,2.40%,5.90%,21.70%,20.60%,9.20%,22.10%,18.00%,0.513,"59,288","84,719",1573.53,111.29,174241,5.24,63.01,22.53,0.21,4.9,0.06,0.27,3.78,44.78,16.74,18.25,7.41,12.82
"Limestone County, Alabama",Limestone County,Alabama,13672,27.77,34640,70.36,923,1.87,4.30%,8.40%,27.80%,20.90%,9.10%,18.90%,10.70%,0.4272,"80,146","99,315",1459.21,71.41,103570,7,73.08,12.72,0.44,1.79,0.07,0.31,4.59,40.26,12.95,19.13,10.35,17.31
"Lowndes County, Alabama",Lowndes County,Alabama,4972,72.74,1836,26.86,27,0.4,4.80%,11.90%,41.60%,15.30%,10.10%,10.50%,5.80%,0.5197,"33,125","55,548",1854.65,5.47,10311,1.36,27.22,69.33,0.09,0.15,0,0.05,1.8,24.52,12.99,20.23,10.33,31.93
"Macon County, Alabama",Macon County,Alabama,7108,81.49,1541,17.67,74,0.85,3.80%,13.50%,31.70%,23.00%,7.50%,10.70%,9.80%,0.4853,"41,206","57,338",1576.44,12.18,19532,1.85,16.32,78.82,0.25,0.38,0.02,0.23,2.14,30.22,24.99,18.55,5.61,20.63
"Madison County, Alabama",Madison County,Alabama,87286,44.82,102780,52.77,4701,2.41,2.20%,5.50%,19.00%,20.50%,7.60%,26.80%,18.30%,0.4695,"78,058","1,07,154",2076.14,187.74,388153,6.42,61.19,23.46,0.55,2.62,0.12,0.44,5.2,50.42,13.56,18.44,6.24,11.34
"Marengo County, Alabama",Marengo County,Alabama,5488,50.35,5343,49.02,69,0.63,3.10%,7.80%,35.60%,21.90%,9.60%,12.70%,9.20%,0.5163,"42,975","65,484",2530.16,7.58,19323,1.9,43.34,52.44,0.03,0.28,0.01,0.21,1.79,29.48,18.66,20.09,11.41,20.35
"Marion County, Alabama",Marion County,Alabama,1463,10.6,12205,88.4,139,1.01,6.10%,13.20%,35.50%,21.70%,11.60%,7.10%,4.70%,0.4443,"49,743","62,389",1922.66,15.19,29341,2.94,88.93,3.73,0.28,0.26,0.05,0.15,3.67,29.37,14.69,17.06,13.47,25.4
"Marshall County, Alabama",Marshall County,Alabama,5943,14.99,33191,83.7,521,1.31,6.50%,9.10%,31.90%,20.20%,10.90%,14.50%,6.90%,0.4567,"58,272","77,500",1465.53,66.82,97612,16.04,76.49,2.35,0.43,0.59,0.13,0.2,3.76,33.17,16.06,18.92,10.9,20.95
"Mobile County, Alabama",Mobile County,Alabama,79474,43.39,101243,55.27,2447,1.34,2.80%,9.10%,34.10%,21.00%,8.80%,15.70%,8.60%,0.4694,"55,352","75,532",3184.06,129.98,414809,3.24,54.65,35.06,0.9,2.05,0.05,0.31,3.73,34.47,17.36,20.82,10.73,16.62
"Monroe County, Alabama",Monroe County,Alabama,4455,41.76,6147,57.62,66,0.62,3.50%,12.80%,44.00%,17.50%,8.70%,7.80%,5.70%,0.4773,"39,965","57,487",2656.47,7.46,19772,1.05,52.27,41.74,1.42,0.45,0,0.22,2.86,23.94,17.96,20.71,12.75,24.65
"Montgomery County, Alabama",Montgomery County,Alabama,64529,65.09,33311,33.6,1299,1.31,3.60%,8.40%,25.60%,21.10%,7.60%,19.50%,14.20%,0.495,"56,707","79,962",2034.06,112.16,228954,4.67,32.04,56.69,0.16,3.47,0.05,0.32,2.6,37.13,16.84,22.57,5.76,17.69
"Morgan County, Alabama",Morgan County,Alabama,13234,24.63,39664,73.83,824,1.53,6.00%,8.80%,30.80%,21.60%,9.00%,15.90%,7.90%,0.4491,"61,588","82,600",1501.34,81.99,123421,10.03,71.49,12.4,0.51,0.67,0.06,0.3,4.52,33.11,14.52,19.98,11.51,20.87
"Perry County, Alabama",Perry County,Alabama,3860,73.8,1339,25.6,31,0.59,6.60%,13.80%,42.90%,16.10%,5.30%,10.10%,5.10%,0.3953,"32,332","41,226",1863.94,4.55,8511,1.05,27.55,69.49,0.18,0.12,0.01,0,1.61,26.68,17.12,21.38,7.95,26.86
"Pickens County, Alabama",Pickens County,Alabama,4022,41.6,5594,57.86,52,0.54,6.40%,8.60%,41.10%,20.10%,9.20%,9.00%,5.50%,0.4814,"45,339","66,279",2282.84,8.29,19123,5.51,52.64,38.95,0.12,0.41,0,0.06,2.32,31.66,15.88,15.05,12.37,25.04
"Pike County, Alabama",Pike County,Alabama,5636,40.72,8042,58.1,163,1.18,3.10%,9.00%,36.20%,18.50%,5.40%,15.70%,12.00%,0.5191,"42,616","67,849",1740.65,18.96,33009,2.74,54.64,36.56,0.51,1.75,0.03,0.35,3.42,34.31,18.24,21.61,7.76,18.09
"Randolph County, Alabama",Randolph County,Alabama,2203,20.33,8559,78.98,75,0.69,6.10%,11.90%,34.90%,18.40%,10.00%,12.10%,6.70%,0.4697,"49,879","67,742",1503.62,14.75,21967,2.75,75.7,17.36,0.23,0.39,0,0.23,3.33,31.37,14.69,17.62,9.06,27.26
"Russell County, Alabama",Russell County,Alabama,11228,52.64,9864,46.25,237,1.11,5.50%,9.30%,29.60%,26.00%,13.30%,10.30%,6.10%,0.4664,"47,420","62,441",1660.65,35.44,59183,5.4,45.08,43.81,0.3,0.69,0.22,0.4,4.1,29.06,15.75,22.98,10.74,21.48
"Shelby County, Alabama",Shelby County,Alabama,33268,28.94,79700,69.33,1982,1.72,2.00%,4.20%,20.20%,20.10%,7.90%,29.80%,15.80%,0.4441,"90,618","1,18,066",2034.28,110.07,223024,7.38,72.96,12.87,0.21,2.29,0.04,0.36,3.88,47.53,13.25,21.44,7.79,9.99
"St. Clair County, Alabama",St. Clair County,Alabama,7744,17.43,36166,81.38,531,1.19,4.10%,8.70%,35.50%,23.20%,9.20%,13.30%,6.00%,0.4081,"73,218","88,263",1635.76,56.07,91103,2.83,82.28,9.46,0.27,0.72,0.02,0.26,4.16,35.05,15.3,22.27,11.92,15.45
"Sumter County, Alabama",Sumter County,Alabama,4648,73.88,1598,25.4,45,0.72,2.50%,8.60%,32.20%,27.70%,7.10%,12.30%,9.50%,0.4823,"31,726","49,122",2340.9,5.21,12345,1.06,23.79,72.54,0.21,0.83,0.02,0.07,1.47,25.33,20.05,23.66,11.58,19.38
"Talladega County, Alabama",Talladega County,Alabama,13138,36.84,22235,62.35,290,0.81,4.50%,12.30%,34.90%,23.90%,7.80%,9.80%,6.80%,0.4797,"52,457","70,872",1908.35,42.5,82149,2.17,61.76,32.06,0.22,0.48,0.03,0.25,3.03,27.82,15.19,20.44,11.45,25.1
"Tallapoosa County, Alabama",Tallapoosa County,Alabama,5859,27.91,14963,71.28,169,0.81,5.10%,13.00%,32.10%,22.60%,9.00%,11.40%,6.70%,0.4892,"53,282","71,359",1855.8,22.23,41311,2.77,68.39,25.09,0.2,0.54,0,0.22,2.79,25.64,16.45,23.37,12.62,21.92
"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama,37765,41.88,51117,56.69,1290,1.43,2.50%,6.80%,29.40%,21.40%,9.00%,18.20%,12.70%,0.4713,"61,645","82,543",3420.98,67.69,227036,5.42,59.41,30.29,0.18,1.43,0.04,0.35,2.88,37.35,15.53,20.14,8.89,18.09
"Walker County, Alabama",Walker County,Alabama,4834,15.51,26002,83.42,334,1.07,5.30%,12.10%,34.80%,21.60%,11.00%,9.40%,5.90%,0.4543,"52,987","68,336",2048.76,31.72,65342,3.29,86.31,5.95,0.29,0.43,0,0.21,3.52,27.89,17.5,21.53,12.83,20.24
"Washington County, Alabama",Washington County,Alabama,2258,25.44,6564,73.95,54,0.61,2.80%,8.90%,43.80%,22.70%,7.50%,6.70%,7.50%,0.4965,"51,184","76,832",2797.85,5.52,15388,0.9,66.72,21.56,7.16,0.09,0.01,0.15,3.41,31.9,16.86,14.59,13.54,23.1
"Wilcox County, Alabama",Wilcox County,Alabama,4048,68.58,1833,31.05,22,0.37,5.70%,16.60%,40.40%,20.50%,5.20%,7.80%,3.80%,0.4578,"38,208","50,522",2299.54,4.54,10600,1.06,27.04,70.05,0.1,0.07,0.05,0.15,1.49,24.19,15.31,21.76,16.62,22.12
"Winston County, Alabama",Winston County,Alabama,974,8.63,10195,90.35,115,1.02,5.90%,14.00%,40.40%,18.40%,7.50%,8.10%,5.70%,0.4547,"49,494","66,201",1587.66,14.9,23540,3.46,91.75,0.56,0.35,0.25,0.04,0.17,3.43,27.5,11.07,19.1,13.67,28.65
"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska,"            180	",32.85,336,61.31,32,5.84,9.80%,9.20%,39.40%,18.70%,6.10%,12.70%,4.30%,0.3727,"79,961","88,309",18094.31,0.19,3420,19.71,19.24,8.68,23.3,22.54,0.94,0.32,5.26,21.91,8.68,11.19,14.23,43.99
"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska,692,53.98,551,42.98,39,3.04,6.20%,4.20%,41.30%,25.20%,7.50%,13.20%,2.30%,0.3254,"1,00,662","1,17,300",11377.89,0.46,5232,12.77,30.29,4.91,13.55,28.71,4.55,0.19,5.03,16.1,14.55,14.67,12.48,42.2
"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska,70933,48.87,68189,46.97,6031,4.16,2.10%,3.70%,24.50%,24.10%,8.60%,23.00%,14.00%,0.4291,"95,731","1,22,032",4421.12,65.75,291247,9.08,54.33,4.73,7.72,9.37,3.38,0.66,10.74,41.74,18.14,20.81,8.1,11.21
"Bethel Census Area, Alaska",Bethel Census Area,Alaska,3085,60.41,1670,32.7,352,6.89,6.30%,11.00%,47.90%,17.90%,7.30%,5.30%,4.40%,0.4603,"64,094","85,288",105253.43,0.18,18666,1.11,8.72,0.45,83.47,1.08,0.01,0.1,5.06,31.36,18.39,23.32,12.54,14.39
"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska,193,38.14,304,60.08,9,1.78,2.00%,3.00%,28.30%,31.90%,8.50%,21.90%,4.40%,0.4087,"94,167","1,16,487",1248.25,0.68,844,5.33,42.3,0.71,35.07,0.59,0.36,0.24,15.4,35.53,13.65,19.76,16.94,14.12
"Chugach Census Area, Alaska",Chugach Census Area,Alaska,1395,39.59,1938,54.99,191,5.42,1.80%,3.70%,23.80%,27.80%,11.50%,20.30%,11.20%,0.3721,"83,068","1,03,289",24683.09,0.28,7102,5.59,67.14,0.65,9.25,7.42,0.86,0.37,8.73,40.55,15.01,14.05,18,12.39
"Copper River Census Area, Alaska",Copper River Census Area,Alaska,480,28.43,1130,66.9,79,4.68,2.10%,5.50%,29.10%,28.90%,6.40%,19.00%,9.00%,0.4125,"70,606","88,145",63953.07,0.04,2617,3.21,60.79,0.23,24.65,0.65,0.38,0.57,9.51,39.5,18.51,19.4,16.73,5.87
"Denali Borough, Alaska",Denali Borough,Alaska,478,41.17,637,54.87,46,3.96,1.10%,2.20%,46.80%,16.30%,8.40%,13.70%,11.50%,0.3805,"87,292","98,536",32740.17,0.06,1619,1.98,85.11,0.56,3.64,0.8,0.19,0.25,7.47,24.85,16.44,6.77,41.22,10.71
"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska,984,51.6,822,43.1,101,5.3,4.10%,7.80%,41.60%,19.50%,6.50%,11.30%,9.10%,0.4092,"69,412","86,298",47484.83,0.1,4857,3.01,15.85,0.39,70.25,0.93,0.19,0.14,9.24,41.76,18.91,13.8,14.01,11.52
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska,18138,40.11,24917,55.1,2165,4.79,1.90%,3.50%,25.30%,26.70%,9.70%,19.60%,13.30%,0.4242,"81,655","1,07,852",18996.92,5.07,95655,7.65,66.05,3.98,7.63,3.17,0.61,0.85,10.06,38.43,19.2,21.23,10.22,10.92
"Haines Borough, Alaska",Haines Borough,Alaska,1579,60.13,986,37.55,61,2.32,0.80%,1.50%,34.40%,25.10%,4.40%,16.80%,16.90%,0.4181,"68,276","76,099",6069.91,0.34,2080,3.22,75.82,0.1,9.86,0.67,0.1,0.43,9.81,36.6,19.85,16.87,17.49,9.18
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska,1645,71.49,577,25.08,79,3.43,0.70%,5.30%,33.60%,23.20%,9.60%,20.40%,7.10%,0.4693,"62,344","84,200",16989.57,0.14,2365,5.07,47.48,0.25,35.56,0.63,0.17,0.68,10.15,43.06,15.23,16.77,10.64,14.3
"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,10834,61.25,6210,35.11,643,3.64,1.00%,3.50%,22.10%,23.40%,9.20%,25.80%,14.90%,0.4037,"95,711","1,17,189",7003.85,4.58,32255,6.44,60.99,1.02,10.53,6.47,1.45,0.57,12.53,44.35,16.2,18.71,11.13,9.61
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,10965,32.3,21761,64.1,1222,3.6,1.60%,4.20%,30.80%,26.50%,8.90%,17.60%,10.40%,0.454,"76,272","99,127",41485.21,1.43,58799,3.96,77.46,0.61,6.98,1.35,0.29,0.63,8.71,38.84,18.75,15.62,14.41,12.38
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,2467,36.4,3985,58.79,326,4.81,1.10%,4.10%,28.50%,31.20%,6.60%,19.30%,9.20%,0.4376,"82,763","1,08,405",12579.62,1.11,13948,4.66,58.94,0.72,16.23,8.02,0.19,0.67,10.58,35.69,20.87,19.87,11.17,12.4
"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,2523,38.18,3756,56.84,329,4.98,4.30%,4.50%,29.00%,24.20%,9.50%,19.20%,9.30%,0.4005,"91,138","1,06,803",17325.67,0.75,13101,7.82,48.02,0.65,13.43,21.23,0.82,0.56,7.48,29.76,17.49,18.88,11.96,21.91
"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,1209,62,569,29.18,172,8.82,3.90%,14.70%,55.70%,18.20%,2.90%,4.00%,0.60%,0.4451,"42,663","57,035",44229.46,0.19,8368,0.17,2.07,0.19,94.96,0.27,0,0.17,2.17,26.43,23.86,20.51,10.91,18.3
